,,,,2009-2010,2009-2010,2009-2010,2009-2010,2011-2012,2011-2012,2011-2012,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/UT,Unemployment Rate (UR),WPR/1000,LFPR,Primary,Secondary,Tertiary,All,primary,Secondary,Tertiary,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,36,372,386,45.7,21.8,32.5,100,39.7,30.3,30,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,7,435,438,62.3,12.2,25.6,100,56.6,11.8,31.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,31,432,446,63.2,9.5,27.4,100,55.3,10.6,34.1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,178,367,445,63.5,6.6,29.8,100,60.5,7.6,31.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,24,412,422,60.8,20.1,19,100,55.7,22.7,21.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,22,392,401,44.2,26.2,29.5,100,36.5,31.5,32,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,12,400,405,52.8,27.1,20.1,100,50.4,29.7,19.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,11,519,525,48.2,17.4,34.4,100,61.5,12.6,25.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,22,443,454,44.6,27.9,27.6,100,35.2,33.9,31,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,128,388,445,26.4,42.4,31.1,100,27.1,46.9,26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,32,361,373,56.4,20.3,23.4,100,49,22.1,28.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,15,333,339,56.1,23,20.9,100,52.4,26.3,21.3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,32,392,405,43.8,25.9,30.4,100,39.2,31.3,29.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,65,420,449,27.9,22.6,49.6,100,26.4,23.4,50.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,59,354,376,2.4,22.4,75.3,100,0.7,22.7,76.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra & Nagar Haveli,NA,344,344,43.4,36.7,20,100,21.2,55.2,23.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,2,403,404,48.7,29,22.2,100,9.7,64.7,25.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,139,334,388,37,21.1,41.8,100,25.8,26.6,47.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,22,355,362,19.4,31.6,49.2,100,16.2,33.6,50.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all-India,23,386,395,53.2,21.5,25.4,100,48.9,24.3,26.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
